,median_mz(Da),IQR_mz(ppm),Q1_RT(s),median_RT(s),Q3_RT(s),N_samples,N_ms2-spectra,Q1_silhouette,median_silhouette,Q3_silhouette,Q1_intramodule_cosine,median_intramodule_cosine,Q3_intramodule_cosine,min_mz,max_mz,min_RT(s),max_RT(s),min_silhouette,max_silhouette,min_intramodule_cosine,max_intramodule_cosine,feat_id,11011,11012,11013,11111,11121,11131,11211,11212,11213,11221,11222,11223,11231,11232,11233,11311,11312,11313,12011,12012,12013,12111,12112,12113,12211,12212,12213,12221,12222,12223,12231,12232,12233,12311,12312,12313,13011,13012,13013,13111,13112,13113,13211,13212,13213,13221,13222,13223,13231,13232,13233,13311,13312,13313,21111_noSPE,21121_noSPE,21131_noSPE,21211_noSPE,21221_noSPE,21231_noSPE
3059,995.851013183594,1.532236133540306,279.31777259208,279.68708076573,280.2309821496,56.0,56.0,0.9987166523933412,0.9988860785961152,0.9989959597587584,0.9984429478645324,0.9989687204360962,0.9992587566375732,995.8495178222656,995.8537902832032,279.12814029552,281.68907662726497,0.9981871843338012,0.9990414977073668,0.9977134466171264,0.9994219541549684,3529.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3058,995.351745605469,1.7936155021345168,280.084247792715,280.73978355024,281.406203890815,40.0,40.0,0.9937050640583038,0.993970274925232,0.9941343367099762,0.9977608919143676,0.998285949230194,0.9986869692802428,995.350143432617,995.3534179687504,279.69373722174305,281.78206813431603,0.993344396352768,0.9942841768264772,0.9444789886474608,0.9989441633224488,3528.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
3057,995.3255615234376,0.8585052175486125,309.216784263615,316.79242851831,325.99230303861003,4.0,4.0,0.8268858045339584,0.8514053523540497,0.870135098695755,0.8287206888198853,0.8580838441848755,0.8950010538101196,995.3244781494144,995.3259185791017,305.660335327155,333.446904612522,0.8097258627414703,0.8768733978271485,0.7357524633407593,0.9070433974266052,3527.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3056,994.8296813964844,3.0676183768623777,309.47435363625004,329.78046217059,361.342236364845,38.0,62.0,0.8863375186920166,0.905855655670166,0.9183899462223052,0.8476436734199524,0.922552227973938,0.9601401090621948,994.8268493652346,994.832455444336,294.66706988908504,381.667575562941,0.8401041150093078,0.9264914989471436,0.7736464738845825,0.9818302392959596,3526.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
3054,994.331024169922,1.4731952585410282,346.40191688634,359.14229717352,372.506979728715,22.0,28.0,0.9164444165427904,0.9341694784068652,0.939036890126287,0.9800583720207214,0.9863978624343872,0.9904264211654664,994.3297973632816,994.3323150634764,331.659192908757,380.819681597685,0.8955361454514803,0.941123819302186,0.963681936264038,0.99183189868927,3524.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3055,994.329345703125,0.7365988725617657,286.4814403305,288.14065315818,288.89446427916,9.0,9.0,0.8920938270349945,0.9220936907618414,0.928765798874072,0.9802993535995485,0.9876042604446412,0.9907915592193604,994.328173828125,994.3308349609374,284.50190880393603,292.998267007812,0.8584956906141019,0.9297756270314153,0.9231553077697754,0.9923622012138368,3525.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3053,993.831909179688,1.509675044811403,292.74445917702,329.41219523046,368.65233924486,14.0,17.0,0.8240242600440979,0.8771513104438782,0.8925613760948181,0.7722946405410767,0.8644168376922607,0.9834768772125244,993.830517578125,993.8330810546876,281.357315708172,387.532968879684,0.7913596749305725,0.9026960253715516,0.7026041150093079,0.9921121001243592,3523.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
3052,993.331970214844,1.659011557456411,296.34064223862,322.71513917544,349.62227203944,52.0,109.0,0.8755838871002197,0.9097787141799928,0.9204120635986328,0.8158553838729858,0.9350077509880066,0.9887389540672302,993.3307128906254,993.333374023438,268.547871376032,383.7555153141,0.8513927221298218,0.9307521700859068,0.6665350198745728,0.995046079158783,3522.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
3051,992.832885742188,1.168039441109436,293.382794822205,328.30572464559,360.954159821055,60.0,290.0,0.91572368144989,0.940660834312439,0.9494939893484116,0.877488374710083,0.9636879563331604,0.9919092059135436,992.831298828125,992.8344451904298,269.656081272123,386.162255729175,0.8919654607772827,0.9560983121395112,0.8287538290023804,0.9957189559936525,3521.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3050,992.333740234375,1.2301336491004402,296.04863121606,324.92959311102,358.16900422668,60.0,289.0,0.9368257522583008,0.9531987309455872,0.9596041440963744,0.9141474962234496,0.973398745059967,0.992533802986145,992.332153320313,992.335205078125,268.105259157168,383.537376047136,0.9202567100524902,0.9663885235786438,0.8757829070091248,0.9961037635803224,3520.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3049,991.834716796875,1.353827825558705,296.56286343430503,330.71467270947,359.941851223485,57.0,194.0,0.8841306269168854,0.9110215902328492,0.920449048280716,0.8220241665840149,0.937706470489502,0.987595558166504,991.8333526611332,991.8364149791848,272.79601994850594,388.808625985137,0.7244254648685455,0.9239597678184508,0.6670717597007751,0.9953433275222778,3519.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3048,991.33554528369,1.98100196180516,296.13358118628,329.80450108146,360.24606516456,60.0,273.0,0.792450487613678,0.8153171539306641,0.8412942290306091,0.6936951875686646,0.8451033234596252,0.9497233033180236,991.3331872422682,991.3376965672692,268.944809604636,386.210206819548,0.7728465557098388,0.8533515214920044,0.631336510181427,0.989527463912964,3518.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3047,990.8354146827676,2.258302539760334,301.17089005806,332.86728718377003,364.3664902100701,60.0,550.0,0.8731796890497208,0.8933275043964386,0.9068008810281754,0.8115339875221252,0.9178098440170288,0.9532477855682372,990.832391357422,990.83789992377,270.264512253753,387.072109783668,0.7591597259044647,0.9136860609054566,0.6886345148086548,0.9850781559944152,3517.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
